herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_kmeans_interno_s,tiempo_total_s,tiempo_respuesta_s,iteraciones,inercia_wcss
Extensión PostgreSQL,1000,2,11,0.10146,0.027296,0.018986,0.027296,0.128756,2,608.4746
Extensión PostgreSQL,1000,3,11,0.10146,0.034608,0.023965,0.034608,0.136068,3,366.7646
Extensión PostgreSQL,1000,4,11,0.10146,0.038358,0.026305,0.038358,0.139818,4,286.7889
Extensión PostgreSQL,1000,5,11,0.10146,0.035977,0.025922,0.035977,0.137437,4,247.4471
Extensión PostgreSQL,1000,6,11,0.10146,0.033745,0.02283,0.033745,0.135205,4,236.0989
Extensión PostgreSQL,1000,7,11,0.10146,0.032235,0.022114,0.032235,0.133695,9,192.8568
Extensión PostgreSQL,1000,8,11,0.10146,0.033377,0.022914,0.033377,0.134837,9,165.9709
Extensión PostgreSQL,1000,9,11,0.10146,0.032174,0.02189,0.032174,0.133634,9,155.5258
Extensión PostgreSQL,1000,10,11,0.10146,0.034156,0.025033,0.034156,0.135616,9,129.5296
Extensión PostgreSQL,2000,2,11,0.152029,0.047879,0.027748,0.047879,0.199908,4,806.3346
Extensión PostgreSQL,2000,3,11,0.152029,0.046343,0.030141,0.046343,0.198372,4,729.9178
Extensión PostgreSQL,2000,4,11,0.152029,0.046179,0.026652,0.046179,0.198208,3,569.5021
Extensión PostgreSQL,2000,5,11,0.152029,0.043055,0.026669,0.043055,0.195084,6,476.122
Extensión PostgreSQL,2000,6,11,0.152029,0.026326,0.012073,0.026326,0.178355,4,404.5956
Extensión PostgreSQL,2000,7,11,0.152029,0.043608,0.026046,0.043608,0.195637,4,361.68
Extensión PostgreSQL,2000,8,11,0.152029,0.029228,0.016244,0.029228,0.181257,5,304.3447
Extensión PostgreSQL,2000,9,11,0.152029,0.027232,0.01513,0.027232,0.179261,7,263.0624
Extensión PostgreSQL,2000,10,11,0.152029,0.043112,0.029546,0.043112,0.19514,23,250.1756
Extensión PostgreSQL,5000,2,11,0.320323,0.067864,0.030728,0.067864,0.388187,2,2000.8104
Extensión PostgreSQL,5000,3,11,0.320323,0.064422,0.026282,0.064422,0.384745,2,1596.7435
Extensión PostgreSQL,5000,4,11,0.320323,0.122568,0.028123,0.122568,0.442891,4,1325.6491
Extensión PostgreSQL,5000,5,11,0.320323,0.064158,0.030454,0.064158,0.384481,5,1266.2254
Extensión PostgreSQL,5000,6,11,0.320323,0.06573,0.031463,0.06573,0.386053,4,1073.6944
Extensión PostgreSQL,5000,7,11,0.320323,0.071177,0.034576,0.071177,0.391501,4,926.9796
Extensión PostgreSQL,5000,8,11,0.320323,0.075266,0.037501,0.075266,0.395589,9,862.051
Extensión PostgreSQL,5000,9,11,0.320323,0.064954,0.033824,0.064954,0.385277,6,749.3787
Extensión PostgreSQL,5000,10,11,0.320323,0.075516,0.038694,0.075516,0.395839,6,689.955
Extensión PostgreSQL,10000,2,11,0.814404,0.092424,0.015263,0.092424,0.906828,3,3960.7197
Extensión PostgreSQL,10000,3,11,0.814404,0.066307,0.01304,0.066307,0.880711,7,3966.774
Extensión PostgreSQL,10000,4,11,0.814404,0.090133,0.015407,0.090133,0.904537,5,2667.1112
Extensión PostgreSQL,10000,5,11,0.814404,0.092464,0.017705,0.092464,0.906868,5,2323.2305
Extensión PostgreSQL,10000,6,11,0.814404,0.077522,0.011356,0.077522,0.891926,5,2270.8169
Extensión PostgreSQL,10000,7,11,0.814404,0.093473,0.019987,0.093473,0.907877,5,2012.2411
Extensión PostgreSQL,10000,8,11,0.814404,0.100267,0.024507,0.100267,0.914671,6,1621.8227
Extensión PostgreSQL,10000,9,11,0.814404,0.099698,0.022583,0.099698,0.914102,6,1384.7057
Extensión PostgreSQL,10000,10,11,0.814404,0.099979,0.024907,0.099979,0.914382,6,1148.2301
Extensión PostgreSQL,21000,2,11,1.520388,0.105102,0.022675,0.105102,1.62549,4,9393.6011
Extensión PostgreSQL,21000,3,11,1.520388,0.17995,0.024326,0.17995,1.700337,2,6108.9102
Extensión PostgreSQL,21000,4,11,1.520388,0.170662,0.019516,0.170662,1.691049,5,4977.4938
Extensión PostgreSQL,21000,5,11,1.520388,0.158344,0.028217,0.158344,1.678732,5,4539.6809
Extensión PostgreSQL,21000,6,11,1.520388,0.252582,0.027074,0.252582,1.77297,4,3956.8781
Extensión PostgreSQL,21000,7,11,1.520388,0.195555,0.031125,0.195555,1.715943,4,3179.5438
Extensión PostgreSQL,21000,8,11,1.520388,0.237554,0.071238,0.237554,1.757941,4,2909.3156
Extensión PostgreSQL,21000,9,11,1.520388,0.178652,0.026277,0.178652,1.699039,5,2360.9601
Extensión PostgreSQL,21000,10,11,1.520388,0.19227,0.038441,0.19227,1.712657,5,2174.8198
Extensión PostgreSQL,50000,2,11,3.669361,0.466882,0.066812,0.466882,4.136244,5,22471.4217
Extensión PostgreSQL,50000,3,11,3.669361,0.392973,0.033382,0.392973,4.062335,2,14616.2006
Extensión PostgreSQL,50000,4,11,3.669361,0.534398,0.079215,0.534398,4.20376,3,12129.0741
Extensión PostgreSQL,50000,5,11,3.669361,0.507327,0.093414,0.507327,4.176688,3,10485.3755
Extensión PostgreSQL,50000,6,11,3.669361,0.38153,0.060022,0.38153,4.050891,4,9903.2583
Extensión PostgreSQL,50000,7,11,3.669361,0.515683,0.104163,0.515683,4.185045,4,8288.0671
Extensión PostgreSQL,50000,8,11,3.669361,0.487409,0.091057,0.487409,4.156771,7,6377.4641
Extensión PostgreSQL,50000,9,11,3.669361,0.629486,0.145048,0.629486,4.298847,5,5380.5069
Extensión PostgreSQL,50000,10,11,3.669361,0.496278,0.104472,0.496278,4.165639,5,4838.6209
Extensión PostgreSQL,100000,2,11,6.454153,0.958543,0.083299,0.958543,7.412696,4,36788.3746
Extensión PostgreSQL,100000,3,11,6.454153,0.809521,0.098942,0.809521,7.263674,5,28922.2647
Extensión PostgreSQL,100000,4,11,6.454153,0.864852,0.110019,0.864852,7.319005,5,23804.6199
Extensión PostgreSQL,100000,5,11,6.454153,1.016594,0.127373,1.016594,7.470747,7,23275.1716
Extensión PostgreSQL,100000,6,11,6.454153,1.009771,0.190367,1.009771,7.463924,12,19848.6019
Extensión PostgreSQL,100000,7,11,6.454153,0.946789,0.145143,0.946789,7.400942,8,17279.9357
Extensión PostgreSQL,100000,8,11,6.454153,1.076094,0.176921,1.076094,7.530247,6,14617.856
Extensión PostgreSQL,100000,9,11,6.454153,0.982149,0.184767,0.982149,7.436303,6,12005.125
Extensión PostgreSQL,100000,10,11,6.454153,1.117608,0.201725,1.117608,7.571761,6,9692.7978
