herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_total_s,tiempo_respuesta_s
Weka,1000,2,11,2.144205,0.234504,0.234504,2.378709
Weka,1000,3,11,2.144205,0.229397,0.229397,2.373602
Weka,1000,4,11,2.144205,0.237654,0.237654,2.381859
Weka,1000,5,11,2.144205,0.245217,0.245217,2.389422
Weka,1000,6,11,2.144205,0.265227,0.265227,2.409432
Weka,1000,7,11,2.144205,0.249565,0.249565,2.39377
Weka,1000,8,11,2.144205,0.251269,0.251269,2.395474
Weka,1000,9,11,2.144205,0.247513,0.247513,2.391718
Weka,1000,10,11,2.144205,0.267951,0.267951,2.412156
Weka,2000,2,11,2.247574,0.259194,0.259194,2.506768
Weka,2000,3,11,2.247574,0.271831,0.271831,2.519405
Weka,2000,4,11,2.247574,0.286793,0.286793,2.534367
Weka,2000,5,11,2.247574,0.266146,0.266146,2.51372
Weka,2000,6,11,2.247574,0.29414,0.29414,2.541714
Weka,2000,7,11,2.247574,0.298669,0.298669,2.546242
Weka,2000,8,11,2.247574,0.288556,0.288556,2.53613
Weka,2000,9,11,2.247574,0.28871,0.28871,2.536284
Weka,2000,10,11,2.247574,0.300055,0.300055,2.547629
Weka,5000,2,11,2.655831,0.41181,0.41181,3.067641
Weka,5000,3,11,2.655831,0.363995,0.363995,3.019826
Weka,5000,4,11,2.655831,0.328625,0.328625,2.984455
Weka,5000,5,11,2.655831,0.338269,0.338269,2.9941
Weka,5000,6,11,2.655831,0.370453,0.370453,3.026283
Weka,5000,7,11,2.655831,0.388102,0.388102,3.043933
Weka,5000,8,11,2.655831,0.333975,0.333975,2.989805
Weka,5000,9,11,2.655831,0.332452,0.332452,2.988282
Weka,5000,10,11,2.655831,0.398523,0.398523,3.054353
Weka,10000,2,11,3.000832,0.334461,0.334461,3.335293
Weka,10000,3,11,3.000832,0.380293,0.380293,3.381125
Weka,10000,4,11,3.000832,0.335195,0.335195,3.336027
Weka,10000,5,11,3.000832,0.351329,0.351329,3.352161
Weka,10000,6,11,3.000832,0.388647,0.388647,3.389479
Weka,10000,7,11,3.000832,0.39227,0.39227,3.393102
Weka,10000,8,11,3.000832,0.361674,0.361674,3.362506
Weka,10000,9,11,3.000832,0.423029,0.423029,3.42386
Weka,10000,10,11,3.000832,0.475558,0.475558,3.47639
Weka,21000,2,11,24.127731,0.410528,0.410528,24.538259
Weka,21000,3,11,24.127731,0.410987,0.410987,24.538718
Weka,21000,4,11,24.127731,0.439022,0.439022,24.566754
Weka,21000,5,11,24.127731,0.489702,0.489702,24.617433
Weka,21000,6,11,24.127731,0.481574,0.481574,24.609305
Weka,21000,7,11,24.127731,0.443623,0.443623,24.571355
Weka,21000,8,11,24.127731,0.434878,0.434878,24.56261
Weka,21000,9,11,24.127731,0.463649,0.463649,24.59138
Weka,21000,10,11,24.127731,0.490128,0.490128,24.61786
Weka,50000,2,11,26.338045,0.578524,0.578524,26.916569
Weka,50000,3,11,26.338045,0.567535,0.567535,26.90558
Weka,50000,4,11,26.338045,0.687425,0.687425,27.02547
Weka,50000,5,11,26.338045,0.741588,0.741588,27.079633
Weka,50000,6,11,26.338045,0.715689,0.715689,27.053734
Weka,50000,7,11,26.338045,0.755067,0.755067,27.093112
Weka,50000,8,11,26.338045,0.685626,0.685626,27.023671
Weka,50000,9,11,26.338045,0.690791,0.690791,27.028836
Weka,50000,10,11,26.338045,0.831082,0.831082,27.169127
Weka,100000,2,11,30.700599,0.77472,0.77472,31.475319
Weka,100000,3,11,30.700599,0.816532,0.816532,31.517131
Weka,100000,4,11,30.700599,0.839263,0.839263,31.539862
Weka,100000,5,11,30.700599,0.860585,0.860585,31.561184
Weka,100000,6,11,30.700599,0.963349,0.963349,31.663948
Weka,100000,7,11,30.700599,0.928567,0.928567,31.629165
Weka,100000,8,11,30.700599,0.946337,0.946337,31.646936
Weka,100000,9,11,30.700599,1.012317,1.012317,31.712915
Weka,100000,10,11,30.700599,1.158435,1.158435,31.859034
Weka,500000,2,11,55.386996,2.524631,2.524631,57.911627
Weka,500000,3,11,55.386996,2.974448,2.974448,58.361444
Weka,500000,4,11,55.386996,3.384735,3.384735,58.771732
Weka,500000,5,11,55.386996,3.216175,3.216175,58.603171
Weka,500000,6,11,55.386996,3.428687,3.428687,58.815683
Weka,500000,7,11,55.386996,3.18112,3.18112,58.568116
Weka,500000,8,11,55.386996,3.260031,3.260031,58.647027
Weka,500000,9,11,55.386996,5.235237,5.235237,60.622233
Weka,500000,10,11,55.386996,4.77794,4.77794,60.164937
Weka,1000000,2,11,45.706801,4.160339,4.160339,49.86714
Weka,1000000,3,11,45.706801,4.974875,4.974875,50.681676
Weka,1000000,4,11,45.706801,5.991394,5.991394,51.698195
Weka,1000000,5,11,45.706801,5.669518,5.669518,51.376319
Weka,1000000,6,11,45.706801,5.637279,5.637279,51.34408
Weka,1000000,7,11,45.706801,6.443705,6.443705,52.150506
Weka,1000000,8,11,45.706801,10.262499,10.262499,55.9693
Weka,1000000,9,11,45.706801,10.086572,10.086572,55.793373
Weka,1000000,10,11,45.706801,10.200937,10.200937,55.907739
