herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_total_s,tiempo_respuesta_s,iteraciones,inercia_wcss
Python sklearn,100000,2,3,0.407971,0.019999,0.027814,0.42797,4,359.4564
Python sklearn,100000,3,3,0.407971,0.029559,0.037373,0.437529,10,317.0774
Python sklearn,100000,4,3,0.407971,0.032642,0.040456,0.440613,8,215.5591
Python sklearn,100000,5,3,0.407971,0.033728,0.041542,0.441699,5,140.2278
Python sklearn,100000,6,3,0.407971,0.039389,0.047203,0.44736,7,117.3644
Python sklearn,100000,7,3,0.407971,0.042622,0.050436,0.450593,6,91.331
Python sklearn,100000,8,3,0.407971,0.05194,0.059754,0.459911,7,70.583
Python sklearn,100000,9,3,0.407971,0.053122,0.060936,0.461093,7,63.699
Python sklearn,100000,10,3,0.407971,0.060844,0.068658,0.468815,6,55.1595
Python sklearn,100000,2,5,0.409039,0.027318,0.036201,0.436357,2,5944.8714
Python sklearn,100000,3,5,0.409039,0.035248,0.04413,0.444287,6,5033.1587
Python sklearn,100000,4,5,0.409039,0.034545,0.043427,0.443584,5,3080.7129
Python sklearn,100000,5,5,0.409039,0.035831,0.044714,0.44487,5,406.7537
Python sklearn,100000,6,5,0.409039,0.04749,0.056372,0.456529,8,374.1698
Python sklearn,100000,7,5,0.409039,0.047402,0.056284,0.456441,6,291.4567
Python sklearn,100000,8,5,0.409039,0.055455,0.064338,0.464495,5,216.1481
Python sklearn,100000,9,5,0.409039,0.05455,0.063433,0.463589,5,149.8949
Python sklearn,100000,10,5,0.409039,0.066126,0.075009,0.475166,6,128.8091
Python sklearn,100000,2,7,0.407133,0.026066,0.033043,0.433199,3,20995.8285
Python sklearn,100000,3,7,0.407133,0.03232,0.039297,0.439454,2,5324.9129
Python sklearn,100000,4,7,0.407133,0.039951,0.046928,0.447084,3,2271.1322
Python sklearn,100000,5,7,0.407133,0.039794,0.046771,0.446928,5,2068.6513
Python sklearn,100000,6,7,0.407133,0.048586,0.055563,0.45572,5,1126.4718
Python sklearn,100000,7,7,0.407133,0.056618,0.063595,0.463751,4,443.6519
Python sklearn,100000,8,7,0.407133,0.060822,0.067799,0.467955,11,334.5593
Python sklearn,100000,9,7,0.407133,0.061117,0.068094,0.468251,5,267.4377
Python sklearn,100000,10,7,0.407133,0.06285,0.069827,0.469983,5,214.2868
Python sklearn,100000,2,9,0.410031,0.036013,0.045887,0.446044,3,28762.5043
Python sklearn,100000,3,9,0.410031,0.034795,0.044669,0.444826,2,13088.4974
Python sklearn,100000,4,9,0.410031,0.035089,0.044964,0.445121,2,9973.2965
Python sklearn,100000,5,9,0.410031,0.046919,0.056793,0.45695,3,7179.0166
Python sklearn,100000,6,9,0.410031,0.043981,0.053856,0.454012,4,4352.7698
Python sklearn,100000,7,9,0.410031,0.057272,0.067147,0.467304,13,4150.1366
Python sklearn,100000,8,9,0.410031,0.080549,0.090423,0.49058,8,3205.2778
Python sklearn,100000,9,9,0.410031,0.105613,0.115487,0.515644,8,2697.1603
Python sklearn,100000,10,9,0.410031,0.103938,0.113813,0.513969,7,2013.6226
Python sklearn,100000,2,11,0.413166,0.039046,0.052055,0.452211,4,37474.0737
Python sklearn,100000,3,11,0.413166,0.042565,0.055574,0.455731,3,29251.2518
Python sklearn,100000,4,11,0.413166,0.048793,0.061802,0.461959,4,26304.9465
Python sklearn,100000,5,11,0.413166,0.051299,0.064308,0.464465,5,24193.7035
Python sklearn,100000,6,11,0.413166,0.05401,0.067019,0.467176,4,23005.6403
Python sklearn,100000,7,11,0.413166,0.067437,0.080446,0.480602,7,22426.5394
Python sklearn,100000,8,11,0.413166,0.069067,0.082075,0.482232,4,13538.8173
Python sklearn,100000,9,11,0.413166,0.089743,0.102751,0.502908,4,12587.6148
Python sklearn,100000,10,11,0.413166,0.144592,0.157601,0.557757,10,10298.4301
