herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_total_s,tiempo_respuesta_s
Weka,1000,2,11,0.17689,0.3348,0.51169,0.51169
Weka,1000,3,11,0.17689,0.317766,0.494657,0.494657
Weka,1000,4,11,0.17689,0.338543,0.515433,0.515433
Weka,1000,5,11,0.17689,0.346387,0.523278,0.523278
Weka,1000,6,11,0.17689,0.35974,0.536631,0.536631
Weka,1000,7,11,0.17689,0.337921,0.514812,0.514812
Weka,1000,8,11,0.17689,0.345804,0.522695,0.522695
Weka,1000,9,11,0.17689,0.493578,0.670468,0.670468
Weka,1000,10,11,0.17689,0.380118,0.557008,0.557008
Weka,2000,2,11,0.062428,0.407323,0.469751,0.469751
Weka,2000,3,11,0.062428,0.458004,0.520432,0.520432
Weka,2000,4,11,0.062428,0.393286,0.455713,0.455713
Weka,2000,5,11,0.062428,0.419579,0.482006,0.482006
Weka,2000,6,11,0.062428,0.389704,0.452131,0.452131
Weka,2000,7,11,0.062428,0.401026,0.463454,0.463454
Weka,2000,8,11,0.062428,0.40866,0.471087,0.471087
Weka,2000,9,11,0.062428,0.374565,0.436993,0.436993
Weka,2000,10,11,0.062428,0.334746,0.397174,0.397174
Weka,5000,2,11,0.137637,0.467589,0.605226,0.605226
Weka,5000,3,11,0.137637,0.429952,0.567589,0.567589
Weka,5000,4,11,0.137637,0.406994,0.544631,0.544631
Weka,5000,5,11,0.137637,0.528009,0.665646,0.665646
Weka,5000,6,11,0.137637,0.561064,0.698701,0.698701
Weka,5000,7,11,0.137637,0.577385,0.715023,0.715023
Weka,5000,8,11,0.137637,0.572344,0.709981,0.709981
Weka,5000,9,11,0.137637,0.500717,0.638355,0.638355
Weka,5000,10,11,0.137637,0.457424,0.595061,0.595061
Weka,10000,2,11,0.31852,0.485313,0.803834,0.803834
Weka,10000,3,11,0.31852,0.483478,0.801998,0.801998
Weka,10000,4,11,0.31852,0.552426,0.870946,0.870946
Weka,10000,5,11,0.31852,0.57117,0.88969,0.88969
Weka,10000,6,11,0.31852,0.534508,0.853028,0.853028
Weka,10000,7,11,0.31852,0.481953,0.800474,0.800474
Weka,10000,8,11,0.31852,0.515036,0.833557,0.833557
Weka,10000,9,11,0.31852,0.548311,0.866832,0.866832
Weka,10000,10,11,0.31852,0.455503,0.774024,0.774024
Weka,21000,2,11,1.007511,0.559342,1.566853,1.566853
Weka,21000,3,11,1.007511,0.646144,1.653655,1.653655
Weka,21000,4,11,1.007511,0.668653,1.676164,1.676164
Weka,21000,5,11,1.007511,0.719782,1.727293,1.727293
Weka,21000,6,11,1.007511,0.688391,1.695902,1.695902
Weka,21000,7,11,1.007511,0.639835,1.647346,1.647346
Weka,21000,8,11,1.007511,0.670229,1.67774,1.67774
Weka,21000,9,11,1.007511,0.678567,1.686078,1.686078
Weka,21000,10,11,1.007511,0.671961,1.679472,1.679472
Weka,50000,2,11,1.179725,0.599377,1.779102,1.779102
Weka,50000,3,11,1.179725,0.601499,1.781224,1.781224
Weka,50000,4,11,1.179725,0.775365,1.95509,1.95509
Weka,50000,5,11,1.179725,0.941812,2.121537,2.121537
Weka,50000,6,11,1.179725,0.886746,2.066471,2.066471
Weka,50000,7,11,1.179725,0.704445,1.88417,1.88417
Weka,50000,8,11,1.179725,0.753977,1.933702,1.933702
Weka,50000,9,11,1.179725,0.86143,2.041155,2.041155
Weka,50000,10,11,1.179725,0.976329,2.156055,2.156055
Weka,100000,2,11,6.037484,0.836209,6.873693,6.873693
Weka,100000,3,11,6.037484,0.777622,6.815106,6.815106
Weka,100000,4,11,6.037484,0.792025,6.829509,6.829509
Weka,100000,5,11,6.037484,0.966783,7.004266,7.004266
Weka,100000,6,11,6.037484,1.064075,7.101559,7.101559
Weka,100000,7,11,6.037484,1.061127,7.098611,7.098611
Weka,100000,8,11,6.037484,1.062664,7.100148,7.100148
Weka,100000,9,11,6.037484,1.050561,7.088044,7.088044
Weka,100000,10,11,6.037484,1.127118,7.164602,7.164602
Weka,500000,2,11,15.82893,2.635174,18.464104,18.464104
Weka,500000,3,11,15.82893,3.490255,19.319185,19.319185
Weka,500000,4,11,15.82893,2.870396,18.699327,18.699327
Weka,500000,5,11,15.82893,3.193304,19.022235,19.022235
Weka,500000,6,11,15.82893,3.132079,18.961009,18.961009
Weka,500000,7,11,15.82893,3.382848,19.211778,19.211778
Weka,500000,8,11,15.82893,3.454239,19.283169,19.283169
Weka,500000,9,11,15.82893,6.369602,22.198533,22.198533
Weka,500000,10,11,15.82893,5.250423,21.079353,21.079353
Weka,1000000,2,11,25.882788,5.176548,31.059336,31.059336
Weka,1000000,3,11,25.882788,5.776453,31.659241,31.659241
Weka,1000000,4,11,25.882788,4.912543,30.795331,30.795331
Weka,1000000,5,11,25.882788,5.391711,31.274499,31.274499
Weka,1000000,6,11,25.882788,6.50438,32.387167,32.387167
Weka,1000000,7,11,25.882788,7.281487,33.164274,33.164274
Weka,1000000,8,11,25.882788,7.747519,33.630307,33.630307
Weka,1000000,9,11,25.882788,7.708946,33.591733,33.591733
Weka,1000000,10,11,25.882788,6.976407,32.859194,32.859194
