herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_kmeans_interno_s,tiempo_total_s,tiempo_respuesta_s,iteraciones,inercia_wcss
Extensión PostgreSQL,100000,2,3,7.141506,0.941732,0.22428,0.941732,8.083239,3,239.6951
Extensión PostgreSQL,100000,3,3,7.141506,0.293067,0.055955,0.293067,7.434573,3,185.8427
Extensión PostgreSQL,100000,4,3,7.141506,0.365098,0.070587,0.365098,7.506604,8,137.8571
Extensión PostgreSQL,100000,5,3,7.141506,0.28358,0.079116,0.28358,7.425086,6,108.6348
Extensión PostgreSQL,100000,6,3,7.141506,0.379896,0.089338,0.379896,7.521402,5,97.9739
Extensión PostgreSQL,100000,7,3,7.141506,0.293489,0.083054,0.293489,7.434995,4,71.5633
Extensión PostgreSQL,100000,8,3,7.141506,0.35501,0.12972,0.35501,7.496516,6,60.8321
Extensión PostgreSQL,100000,9,3,7.141506,0.459331,0.143917,0.459331,7.600837,7,54.3649
Extensión PostgreSQL,100000,10,3,7.141506,0.351535,0.135248,0.351535,7.493041,7,51.4379
Extensión PostgreSQL,100000,2,5,2.604642,0.486428,0.065133,0.486428,3.091069,2,5256.3376
Extensión PostgreSQL,100000,3,5,2.604642,0.342029,0.063242,0.342029,2.94667,3,1860.8414
Extensión PostgreSQL,100000,4,5,2.604642,0.429754,0.070506,0.429754,3.034396,2,643.307
Extensión PostgreSQL,100000,5,5,2.604642,0.3361,0.075105,0.3361,2.940742,2,257.8689
Extensión PostgreSQL,100000,6,5,2.604642,0.336827,0.084279,0.336827,2.941469,2,225.6874
Extensión PostgreSQL,100000,7,5,2.604642,0.418387,0.091935,0.418387,3.023029,3,195.4274
Extensión PostgreSQL,100000,8,5,2.604642,0.49453,0.153265,0.49453,3.099171,3,157.3334
Extensión PostgreSQL,100000,9,5,2.604642,0.553023,0.167524,0.553023,3.157665,3,127.0733
Extensión PostgreSQL,100000,10,5,2.604642,0.645292,0.189016,0.645292,3.249933,7,101.8455
Extensión PostgreSQL,100000,2,7,4.684081,0.583724,0.084848,0.583724,5.267805,2,12814.6139
Extensión PostgreSQL,100000,3,7,4.684081,0.526797,0.102319,0.526797,5.210879,2,4982.3109
Extensión PostgreSQL,100000,4,7,4.684081,0.539237,0.094796,0.539237,5.223318,3,2016.7214
Extensión PostgreSQL,100000,5,7,4.684081,0.651809,0.105443,0.651809,5.33589,3,891.8985
Extensión PostgreSQL,100000,6,7,4.684081,0.521992,0.126788,0.521992,5.206073,2,369.0501
Extensión PostgreSQL,100000,7,7,4.684081,0.537764,0.134031,0.537764,5.221846,3,257.8675
Extensión PostgreSQL,100000,8,7,4.684081,0.661682,0.185375,0.661682,5.345763,18,230.2234
Extensión PostgreSQL,100000,9,7,4.684081,0.528112,0.151195,0.528112,5.212193,6,203.966
Extensión PostgreSQL,100000,10,7,4.684081,0.686529,0.169026,0.686529,5.370611,4,168.2169
Extensión PostgreSQL,100000,2,9,6.064456,0.653924,0.088399,0.653924,6.718379,2,20695.7595
Extensión PostgreSQL,100000,3,9,6.064456,0.783056,0.091417,0.783056,6.847512,4,19886.3759
Extensión PostgreSQL,100000,4,9,6.064456,0.700251,0.106525,0.700251,6.764707,4,12343.8736
Extensión PostgreSQL,100000,5,9,6.064456,0.715471,0.107857,0.715471,6.779926,4,9406.4191
Extensión PostgreSQL,100000,6,9,6.064456,0.75598,0.120325,0.75598,6.820436,4,6534.0637
Extensión PostgreSQL,100000,7,9,6.064456,0.705593,0.120909,0.705593,6.770049,4,3571.9374
Extensión PostgreSQL,100000,8,9,6.064456,0.876864,0.177817,0.876864,6.941319,4,2455.9053
Extensión PostgreSQL,100000,9,9,6.064456,0.780245,0.191929,0.780245,6.8447,4,1932.1663
Extensión PostgreSQL,100000,10,9,6.064456,0.956598,0.275409,0.956598,7.021053,4,1535.593
Extensión PostgreSQL,100000,2,11,5.317994,0.644922,0.100682,0.644922,5.962916,4,36788.3746
Extensión PostgreSQL,100000,3,11,5.317994,0.86211,0.098783,0.86211,6.180104,5,28922.2647
Extensión PostgreSQL,100000,4,11,5.317994,0.665742,0.101092,0.665742,5.983736,5,23804.6199
Extensión PostgreSQL,100000,5,11,5.317994,0.746466,0.120188,0.746466,6.06446,7,23275.1716
Extensión PostgreSQL,100000,6,11,5.317994,0.884042,0.136457,0.884042,6.202036,12,19848.6019
Extensión PostgreSQL,100000,7,11,5.317994,0.792699,0.136315,0.792699,6.110692,8,17279.9357
Extensión PostgreSQL,100000,8,11,5.317994,0.840198,0.156291,0.840198,6.158192,6,14617.856
Extensión PostgreSQL,100000,9,11,5.317994,0.961862,0.174177,0.961862,6.279856,6,12005.125
Extensión PostgreSQL,100000,10,11,5.317994,0.897485,0.187351,0.897485,6.215478,6,9692.7978
